CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,SatisfactionScore,CardType,PointEarned,AgeGroup,BalanceGroup,TenureGroup,SalaryGroup,Cluster,ChurnProbability,PredictedChurn,RiskCategory,BalanceScore,SalaryScore,TenureScore,PointsScore,CustomerValueScore,EstimatedCustomerValue,RevenueAtRisk
619,France,Female,42,2,0.0,1,1,1,101348.88,1,1,2,DIAMOND,464,41-50,No Balance,New,High,0,0.30764747,0,Medium Risk,0.0,0.5067634543058819,0.2,0.464,0.23842903629176457,24164.515787649692,7434.1521458454845
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,1,3,DIAMOND,456,41-50,Medium,New,High,0,0.21079265,0,Low Risk,0.33403147867725896,0.5627340588006109,0.1,0.456,0.3680328091110868,41419.36186200922,8730.897048201858
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1,3,DIAMOND,377,41-50,Very High,Long,High,3,0.9706571,1,High Risk,0.6363571759354565,0.5696792699405497,0.8,0.377,0.6231466513563475,70996.07632927131,68912.84556114914
699,France,Female,39,1,0.0,2,0,0,93826.63,0,0,5,GOLD,350,31-40,No Balance,New,Medium,3,0.057731807,0,Low Risk,0.0,0.4691507900697066,0.1,0.35,0.19574523702091198,18366.11592822341,1060.30906010782
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0,5,GOLD,425,41-50,High,New,Medium,0,0.08315673,0,Low Risk,0.5002462155052675,0.3954353683698507,0.2,0.425,0.40122909671306217,31730.84200736548,2638.633061479149
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,1,5,DIAMOND,484,41-50,High,Long,High,2,0.19175985,0,Low Risk,0.4533943642217444,0.74881170532012,0.8,0.484,0.6144012572847338,92010.71091082526,17643.960122653218
822,France,Male,50,7,0.0,2,1,1,10062.8,0,0,2,SILVER,206,41-50,No Balance,Long,Low,3,0.071822144,0,Low Risk,0.0,0.05031589187753459,0.7,0.206,0.17569476756326036,1767.9813070355763,126.98020802321739
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,1,2,DIAMOND,282,18-30,High,Medium,High,3,0.99043053,1,High Risk,0.4585397202505607,0.596756838057111,0.4,0.282,0.47064293951735764,56169.76642542534,55632.25153071023
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,3,GOLD,251,41-50,High,Medium,Medium,0,0.10667057,0,Low Risk,0.5661703921301274,0.3747165893437593,0.4,0.251,0.4439831336551788,33272.31802768593,3549.177129234534
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0,3,GOLD,342,18-30,High,New,Medium,0,0.0297966,0,Low Risk,0.5364882610306041,0.3586421349442739,0.2,0.342,0.39638794489552387,28431.21471083122,847.1535322527535
